,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
691,andhra pradesh,krishna,2002,7,5,1,0,0,1,25,22,153,136,350
692,andhra pradesh,kurnool,2002,1,7,0,0,0,0,15,90,24,18,155
693,andhra pradesh,mahaboobnagar,2002,8,12,0,0,0,2,0,64,23,82,191
694,andhra pradesh,medak,2002,0,5,1,0,0,0,4,70,1,65,146
695,andhra pradesh,nalgonda,2002,0,2,0,0,0,0,1,36,3,5,47
696,andhra pradesh,nellore,2002,0,4,2,0,0,0,21,124,0,57,208
697,andhra pradesh,nizamabad,2002,0,5,0,0,0,0,6,13,0,38,62
698,andhra pradesh,prakasham,2002,3,0,0,0,0,0,47,19,4,30,103
699,andhra pradesh,ranga reddy,2002,19,8,4,0,2,7,96,38,17,50,241
700,andhra pradesh,secunderabad rly.,2002,0,0,0,0,0,0,0,2,0,0,2
701,andhra pradesh,srikakulam,2002,1,3,0,0,0,0,10,14,12,37,77
702,andhra pradesh,vijayawada,2002,2,4,1,0,1,0,51,7,24,23,113
703,andhra pradesh,vijayawada rly.,2002,0,0,0,0,0,0,0,0,4,1,5
704,andhra pradesh,visakha rural,2002,0,0,0,0,0,0,10,7,31,42,90
705,andhra pradesh,visakhapatnam,2002,0,0,0,0,0,0,0,5,4,7,16
706,andhra pradesh,vizianagaram,2002,0,1,0,0,0,1,0,13,38,55,108
707,andhra pradesh,warangal,2002,0,2,0,0,0,0,3,30,17,60,112
708,andhra pradesh,west godavari,2002,1,6,3,0,1,0,29,49,10,58,157
709,arunachal pradesh,changlang,2002,0,0,0,0,0,0,0,0,0,0,0
710,arunachal pradesh,dibang valley,2002,0,0,0,0,0,0,0,0,0,0,0
711,arunachal pradesh,kameng east,2002,0,0,0,0,0,0,0,0,0,0,0
712,arunachal pradesh,kameng west,2002,0,0,0,0,0,0,0,0,0,0,0
713,arunachal pradesh,lohit,2002,0,0,0,0,0,0,0,0,0,0,0
714,arunachal pradesh,papum pare,2002,0,0,0,0,0,0,0,0,0,0,0
715,arunachal pradesh,siang east,2002,0,0,0,0,0,0,0,0,0,0,0
716,arunachal pradesh,siang upper,2002,0,0,0,0,0,0,0,0,0,0,0
717,arunachal pradesh,siang west,2002,0,0,0,0,0,0,0,0,0,0,0
718,arunachal pradesh,subansiri lower,2002,0,0,0,0,0,0,0,0,0,0,0
719,arunachal pradesh,subansiri upper,2002,0,0,0,0,0,0,0,0,0,0,0
720,arunachal pradesh,tawang,2002,0,0,0,0,0,0,0,0,0,0,0
721,arunachal pradesh,tirap,2002,0,0,0,0,0,0,0,0,0,0,0
722,assam,barpeta,2002,0,0,0,0,0,0,0,0,0,0,0
723,assam,bongaigaon,2002,0,0,0,0,0,0,0,0,0,0,0
724,assam,c.i.d.,2002,0,0,0,0,0,0,0,0,0,0,0
725,assam,cachar,2002,0,0,0,0,0,0,0,0,0,0,0
726,assam,darrang,2002,0,0,0,0,0,0,0,0,0,0,0
727,assam,dhemaji,2002,0,0,0,0,0,0,0,0,0,0,0
728,assam,dhubri,2002,0,0,0,0,0,0,1,0,0,2,3
729,assam,dibrugarh,2002,0,0,0,0,1,1,4,0,0,0,6
730,assam,g.r.p.,2002,0,0,0,0,0,0,0,0,0,0,0
731,assam,goalpara,2002,0,0,0,0,0,0,0,0,0,0,0
732,assam,golaghat,2002,3,0,4,0,1,1,9,0,0,14,32
733,assam,guwahati city,2002,0,0,0,0,0,0,0,0,0,0,0
734,assam,hailakandi,2002,0,0,0,0,0,0,0,0,0,0,0
735,assam,jorhat,2002,0,0,0,0,0,0,0,0,0,0,0
736,assam,kamrup,2002,0,0,0,0,0,0,0,0,0,0,0
737,assam,karbi anglong,2002,0,0,0,0,0,0,0,0,0,0,0
